Text,Label,Label_Name,Filename
image available online material referenced associated index listing available minnesota tobacco document depository please see website home page additional information regarding depository,0,advertisement,0000001863.tif
nn archive location sheet number range ooo represents check one oversize document audio tape video tape slide microfiche describe vn,0,advertisement,00001014.tif
menthol introducing sierra new menthol cigarette fully satisfying taste burn slower problem today low tar sierra smoothed men cigarette burn fast thol taste cooler low tar theydontgive much taste satisfaction brand new sierra packed tight sierra settle back sy firm fine tobacco give full tasting new menthol z afull measure taste satisfaction cigarette easy draw every time mg tar mg nicotine j q j j j,0,advertisement,0000106842.tif
p g ry,0,advertisement,0000107404.tif
several week ago left sample arctic light cigarette hope enjoyed ther would like try jo end enclosing store coupon good carton purchase arctic light king youmnail u two end panel carton along certificate enclosed well send two store coupon good future carton purchase thank trying arctic light carton arctic light nawev cp sttztt,0,advertisement,0000109229.tif
fhats happening next pack kool viceroy couldbe worth th coo sl game week northgate mall leam win quest cash special mall prize pen gett ene inal e hourly drawing northgate mall week gift certificate wed thurs fa sept noon pum northgate mall sstuafettlam gift certificate vo h amp awarded sun oct nombre overt cce e,0,advertisement,0000114851.tif
ag va ag lose f stl ie ro dentist advise be_dentisis say cénote o oat oe com viceroy filter shoke nicotine tat trappec nicotine tar viceroy fitter trappedby viceroy filter never stain teeth,0,advertisement,0000121283.tif
readef digest tell rtered cigarette smoke better health ww tell cigarette filter take nicotine viceroy futers smoke _t,0,advertisement,0000121284.tif
bo oep e may octgst viceroy give filterpower filter viceroy filter ordinary filter se itrence ia ff ever tier cvaser aw vier tiptsoduoniies thasteie ff bf oriony fier tpt smple erave sy fiers yon et ter aiterenee eater er randy fa suwtheater smoot rove smoothest taste vo yes twice many filter two largestselling filter brand rey p ow gtthe titer power vieeroye fers atthe wana gar h fgh finest bccn vieroy deep cute exter smite smoothest ta n job v octeter eee oxtober lt icins ct nat prot soy,0,advertisement,0000121291.tif
f oan packet true e save é,0,advertisement,00001216_1217.tif
king siatine mg tw mg ication fc report cigarette smoking l dangerous toyour health eee good enough called g bolee,0,advertisement,0000121886.tif
gim cap,0,advertisement,0000125386.tif
fa j yuuice tsg,0,advertisement,0000126151.tif
yank sage se oo kl doa ig oft coupon cannerickson pu eteg __arenoms sianatune vate hbe aw ag bid op fa mn pt sa,0,advertisement,0000126164.tif
king mg tar mg nicotine av per cigarette ftc report dec cele ttols,0,advertisement,0000126377.tif
ee ee nee ck pe rep sin atoni in hom tva spueig auene yallivm u,0,advertisement,0000126586.tif
sbzt,0,advertisement,0000127597.tif
unmarked pack test prove merit breakthrough significant majority rate merit taste equal better thanleading high tar merit proof tar brand even cigarette twice ste science created resea merit first low tar entry smoker preference awong g n roven deliver aste leading smoker stating preference igh tar brand merit low targood taste com blind taste test la go s ax bination favored l high tar leader tar level revealed merit taste low tar proven alternative merit equal toor better se ay z high tar smoking ti taste oni trap king,0,advertisement,0000128690.tif
